"","district_reporting","hunger_extreme_perc","hunger_severe_perc","borrow_extreme_perc","borrow_severe_perc","reduced_food_extreme_perc","reduced_food_severe_perc","livestock_impact_extreme_perc","livestock_impact_severe_perc","ag_impact_extreme_perc","ag_impact_severe_perc","hunger_extreme","hunger_severe","borrow_extreme","borrow_severe","reduced_food_extreme","reduced_food_severe","livestock_impact_extreme","livestock_impact_severe","ag_impact_extreme","ag_impact_severe","htr_fsa_score","htr_fsa_rank","htr_fsa_rank_high"
"71","pur_chaman",0.0158730158730159,0.222222222222222,0.206349206349206,0.444444444444444,0.0793650793650794,0.507936507936508,0.46031746031746,0.111111111111111,0.174603174603175,0.142857142857143,0,2,0,1,0,2,3,0,0,0,8,1,0
"72","pusht_rod",0,0,0,0,0,0,0.25,0.0833333333333333,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0
"73","qaisar",0.0697674418604651,0.209302325581395,0.0697674418604651,0.395348837209302,0.27906976744186,0.465116279069767,0.13953488372093,0.441860465116279,0.13953488372093,0.325581395348837,0,2,0,1,2,1,0,1,0,1,8,1,0
"74","qala_e_zal",0,0,0.05,0.1,0,0.05,0.05,0.1,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,1,0
"75","qarabagh",0.0126582278481013,0.10126582278481,0.0126582278481013,0.278481012658228,0.0253164556962025,0.189873417721519,0.164556962025316,0.291139240506329,0.0379746835443038,0.291139240506329,0,0,0,1,0,0,0,1,0,1,3,1,0
"76","raghestan",0,0,0.0303030303030303,0.0606060606060606,0,0,0.818181818181818,0.0909090909090909,0,0.272727272727273,0,0,0,0,0,0,6,0,0,1,7,1,0
"77","reg",0,0.55,0.1,0.7,0.35,0.55,0.05,0.05,0,0,0,4,0,2,2,2,0,0,0,0,10,2,0
"78","reg_i_khan_nishin",0,0.235294117647059,0.176470588235294,0.294117647058824,0.176470588235294,0.352941176470588,0.176470588235294,0.117647058823529,0.235294117647059,0.0588235294117647,0,2,0,1,0,1,0,0,0,0,4,1,0
"79","rostaq",0,0.0227272727272727,0,0.386363636363636,0,0.0909090909090909,0,0.136363636363636,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"80","sabari",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"81","sangin",0,0,0.259259259259259,0.481481481481481,0.037037037037037,0.481481481481481,0.111111111111111,0.592592592592593,0.259259259259259,0.222222222222222,0,0,2,1,0,1,0,2,2,0,8,1,0
"82","sarobi",0.0333333333333333,0.533333333333333,0.133333333333333,0.833333333333333,0.1,0.866666666666667,0.333333333333333,0.533333333333333,0.0333333333333333,0.9,0,4,0,2,0,2,3,2,0,2,15,2,0
"83","sayed_abad",0,0.533333333333333,0.366666666666667,0.466666666666667,0.0333333333333333,0.133333333333333,0.333333333333333,0.3,0.0666666666666667,0.1,0,4,2,1,0,0,3,1,0,0,11,2,0
"84","shah_joi",0,0,0,0.209302325581395,0,0.0232558139534884,0.930232558139535,0.0697674418604651,0,0,0,0,0,0,0,0,6,0,0,0,6,1,0
"85","shah_wali_kot",0.0714285714285714,0.232142857142857,0.0357142857142857,0.642857142857143,0.0178571428571429,0.5,0.482142857142857,0.125,0.196428571428571,0.482142857142857,0,2,0,2,0,1,3,0,0,1,9,2,0
"86","shahid_e_hassas",0,0.578947368421053,0,0.684210526315789,0,0.578947368421053,0.263157894736842,0.157894736842105,0.105263157894737,0.736842105263158,0,4,0,2,0,2,3,0,0,2,13,2,0
"87","sheltan",0,0.333333333333333,0.333333333333333,0.444444444444444,0.333333333333333,0.333333333333333,0.555555555555556,0.333333333333333,0.111111111111111,0.333333333333333,0,4,2,1,2,1,6,1,0,1,18,2,0
"88","sher_zad",0,0.354838709677419,0.193548387096774,0.548387096774194,0.0645161290322581,0.612903225806452,0.67741935483871,0.258064516129032,0.580645161290323,0.290322580645161,0,4,0,2,0,2,6,1,4,1,20,3,1
"89","shigal",0,0.148148148148148,0,0.777777777777778,0.037037037037037,0.333333333333333,0,0,0,0.037037037037037,0,0,0,2,0,1,0,0,0,0,3,1,0
"90","shindand",0,0.588235294117647,0.117647058823529,0.764705882352941,0.0588235294117647,0.764705882352941,0.647058823529412,0.294117647058824,0.117647058823529,0.823529411764706,0,4,0,2,0,2,6,1,0,2,17,2,0
"91","shirin_tagab",0,0.0434782608695652,0,0.173913043478261,0,0,0.347826086956522,0.652173913043478,0,0.0434782608695652,0,0,0,0,0,0,3,2,0,0,5,1,0
"92","sozmaqala",0,0.0196078431372549,0,0.568627450980392,0,0.372549019607843,0.627450980392157,0.0784313725490196,0.0196078431372549,0.0588235294117647,0,0,0,2,0,1,6,0,0,0,9,2,0
"93","surkh_rod",0,0,0.146341463414634,0.731707317073171,0.268292682926829,0.609756097560976,0.146341463414634,0.024390243902439,0.170731707317073,0.024390243902439,0,0,0,2,2,2,0,0,0,0,6,1,0
"94","tirinkot",0,0.517241379310345,0,0.896551724137931,0,0.896551724137931,0.206896551724138,0.724137931034483,0,0.931034482758621,0,4,0,2,0,2,0,2,0,2,12,2,0
"95","urgun",0,0.0625,0,0.15625,0,0.21875,0.6875,0.28125,0.0625,0.21875,0,0,0,0,0,0,6,1,0,0,7,1,0
"96","waghaz",0.19047619047619,0.333333333333333,0.523809523809524,0.19047619047619,0.380952380952381,0.285714285714286,0.0476190476190476,0,0.0476190476190476,0,4,4,4,0,2,1,0,0,0,0,15,2,0
"97","wal_e_muhammad_e_shahid",0.111111111111111,0.111111111111111,0.222222222222222,0.5,0,0.222222222222222,0.555555555555556,0.444444444444444,0.0555555555555556,0.166666666666667,0,0,0,1,0,0,6,1,0,0,8,1,0
"98","watapur",0,0.875,0.583333333333333,0.25,0.333333333333333,0.375,0.291666666666667,0.375,0.5,0.208333333333333,0,4,4,0,2,1,3,1,2,0,17,2,0
"99","zheray",0,0.782608695652174,0,0.739130434782609,0,0.782608695652174,0.0434782608695652,0.0434782608695652,0,0.260869565217391,0,4,0,2,0,2,0,0,0,1,9,2,0
"100","zurmat",0,0.380952380952381,0.19047619047619,0.571428571428571,0.0714285714285714,0.214285714285714,0.0238095238095238,0.238095238095238,0,0.285714285714286,0,4,0,2,0,0,0,0,0,1,7,1,0
